user_id,user_name,password,email,birthdate,age
1,aheselwood0,g7ASwbiHJn,lbeadman0@skype.com,1989-02-17,33
2,lelves1,1aaweb,rlowle1@tinyurl.com,1995-02-14,27
3,iblankhorn2,Y83JqZ3m,rdelahunt2@google.co.uk,1978-09-20,44
4,hlanigan3,zsxPcXs4jm,lnicely3@wufoo.com,1979-04-11,43
5,gmulford4,LLUV55aTV,cjanecki4@cloudflare.com,1996-09-10,26
6,ebalhatchet5,RKShWB,acarnegie5@diigo.com,1988-12-09,33
7,iinkles6,yGeboghK,bsnasel6@ow.ly,2000-03-04,22
8,lmeltetal7,cVVs5atX0msh,efennessy7@webeden.co.uk,1981-07-12,41
9,afeatenby8,QQX7GqiYAAs,mskotcher8@themeforest.net,1991-04-25,31
10,cmackegg9,Hzdd1vdLkY,wtunney9@toplist.cz,2008-04-23,14
11,bpretoa,hNjextrJlH4,atellenbacha@dedecms.com,1979-01-22,43
12,sshortellb,E0S6L2JYzu,mstureb@cpanel.net,1992-08-30,30
13,vphupratec,Edpyr1V,emcdougalc@ehow.com,1990-09-18,32
14,afarnabyd,B9PFIiU4,oneated@cyberchimps.com,1988-06-18,34
15,ejanderae,iWC1mmb7D2A5,nnurcombee@comsenz.com,1981-01-10,41
16,lgilfoyf,iFw1GMYXwst,syansonsf@joomla.org,1983-12-27,38
17,jstockeng,9yT7qUeHYpYU,vtwigleyg@macromedia.com,1971-10-07,51
18,echallenorh,ja8shcxMI7Mt,vdegoeyh@irs.gov,1975-04-17,47
19,aaventi,FWBq3CDTp,glyei@mapquest.com,2009-07-21,13
20,keversfieldj,IhArSl,osquelchj@taobao.com,1989-03-27,33
21,dlinnyk,WslhIyvaldm,xledsonk@blog.com,1978-07-20,44
22,abrethertonl,CsOx37Y,mholdeyl@squidoo.com,1981-04-05,41
23,vsloleym,UN9wbZ1c,nspreym@washingtonpost.com,1985-01-17,37
24,kmateescun,w8cPV18TjBiK,ebottlesonn@discuz.net,1986-04-17,36
25,mgoadbyo,PUTaYmLn,jsinnato@skype.com,1972-09-11,50
26,nbonp,XQ3LZSu,xdelagnesp@berkeley.edu,1986-01-27,36
27,mdaverinq,nwWoBpbo,lheninghamq@salon.com,2015-12-05,6
28,ghedaur,eNS8hk81,sdaniellr@discuz.net,1992-08-16,30
29,scasselys,TyytsEbI2fFI,iedgetts@scientificamerican.com,2007-12-15,14
30,fgossartt,z0hVNDW0qwv,jsyphust@wiley.com,1983-08-04,39
31,mpyseru,IP5ELJGWP,gchaudronu@unicef.org,1981-05-23,41
32,sveryardv,014grDZ,fstainburnv@delicious.com,2005-04-15,17
33,kwatsonw,45xtrx,jdowryw@odnoklassniki.ru,1995-10-04,27
34,dgregrx,N2ua9OKL6NZ,asebleyx@elegantthemes.com,1995-08-09,27
35,mbambletty,m2WzE0n354Mj,gcronkshawy@github.io,2009-07-31,13
36,damirandaz,7upet5,wpeggz@arizona.edu,2009-01-18,13
37,jswanborough10,Di6zvwk,mpreston10@weebly.com,2001-01-05,21
38,cjeenes11,lgZO7kRb2,ltarbin11@com.com,2005-12-13,16
39,ningman12,0BA1wDBZ,sthrower12@list-manage.com,2005-01-01,17
40,tineson13,xB7DK5J,aswadlen13@ovh.net,1991-12-28,30
41,jstiff14,RcToHvTuC,phusby14@cafepress.com,2014-05-19,8
42,nkyberd15,wUlKhc6CMp3,jwoehler15@tripadvisor.com,1990-11-04,32
43,sbarczynski16,zg1YJHuso,ababcock16@symantec.com,2001-02-23,21
44,abradbury17,EYLxg13yXe,tshovlar17@newsvine.com,1995-12-09,26
45,einstock18,EfzMahZSV99k,epettiford18@aboutads.info,2015-05-29,7
46,cchoudhury19,Nnl6Ae9IozM,csenn19@sina.com.cn,2002-03-07,20
47,wphair1a,3kRbaSicethw,aloeber1a@hostgator.com,1978-08-13,44
48,hware1b,t50DfrnS9,lbeavors1b@washington.edu,1970-06-25,52
49,njerson1c,3fv2DJ,bcharlton1c@vistaprint.com,1996-05-17,26
50,vballinghall1d,z6iN85,cswigg1d@stanford.edu,1973-03-21,49
